MPIO	MPIO_CCDGO	MUNICIPIO	LONGITUD	LATITUD	DPTO_CCDGO
1110	5001	MEDELLIN	-75.61103182	6.25759028	05
21	8001	BARRANQUILLA	-74.82771604	10.98152007	08
1100	11001	BOGOTA	-74.1810727	4.3161077	11
986	13001	CARTAGENA DE INDIAS	-75.45889966	10.46343013	13
1066	15001	TUNJA	-73.37801847	5.518472825	15
153	17001	MANIZALES	-75.50725987	5.083428705	17
179	18001	FLORENCIA	-75.55823906	1.749138703	18
436	19001	POPAYAN	-76.59194419	2.471704363	19
988	20001	VALLEDUPAR	-73.46326293	10.38203628	20
495	23001	MONTERIA	-75.95055075	8.584698008	23
523	25001	AGUA DE DIOS	-74.67111051	4.372744676	25
935	27001	QUIBDO	-76.66367845	5.938952985	27
380	41001	NEIVA	-75.27236233	2.993360017	41
1102	44001	RIOHACHA	-72.95876346	11.24297217	44
1101	47001	SANTA MARTA	-73.88527855	11.12189436	47
1096	50001	VILLAVICENCIO	-73.49290365	4.091665595	50
1035	52001	PASTO	-77.20610074	1.083605497	52
991	54001	CUCUTA	-72.48862861	8.112098307	54
745	63001	ARMENIA	-75.72489755	4.499503534	63
574	66001	PEREIRA	-75.71236228	4.781292117	66
958	68001	BUCARAMANGA	-73.11157081	7.155835626	68
1109	70001	SINCELEJO	-75.43174892	9.316674206	70
1098	73001	IBAGUE	-75.25259144	4.451921618	73
771	76001	CALI	-76.57649248	3.399044438	76
955	81001	ARAUCA	-70.50921153	6.796280825	81
1064	85001	YOPAL	-72.25802857	5.242744761	85
1039	86001	MOCOA	-76.68436218	1.228574995	86
1005	88001	SAN ANDRES	-81.71762336	12.54311735	88
1007	91001	LETICIA	-70.04512584	-3.53014225	91
1054	94001	INIRIDA	-68.45723659	3.319404984	94
1081	95001	SAN JOSE DEL GUAVIARE	-71.91916993	2.48428609	95
1047	97001	MITU	-70.41755288	1.015571851	97
934	99001	PUERTO CARRENO	-68.14122234	5.836529669	99
